Variable,N,Mean,SD,Median,Min,Max,Q1,Q3
USIA,245,58.8,9.41,60,30,84,53,64
BB,245,63.65,10.81,65,35,105,57,70
TB,245,160.89,7.48,161,141,178,155,165
TD_S,245,132.82,24.48,131,68,201,117,148
TD_D,245,76.78,13.15,75,25,116,68,85
HR,245,75.28,16.73,72,40,130,63,88
RR,245,22.79,6.93,20,15,87,20,28
HB,245,13.23,1.76,13.3,8.6,18.2,12.1,14.5
LEUKOSIT,245,11.46,13.42,9.57,2.92,201.2,7.64,12.91
PLT,245,252.79,80.28,249,22.5,638.9,201.9,301
BUN,245,17.29,8.59,14.95,7.01,54.67,11.68,20.09
SK,245,1.19,0.78,1,0.5,10,0.8,1.3
NATRIUM,245,138.04,3.76,138,123,146,136,141
K,245,5.19,8.07,4.2,2.5,112,3.8,4.6
GDS,245,151.21,78.97,133,4,572,106,169
GDP,245,111.6,37.42,98,70,340,90,119
KOL_TOT,245,175.84,51.03,168,92,359,143,198
TG,245,150.47,77.62,136,55,721,91,188
HDL,245,40.04,10.86,39,11,83,32,46
LDL,245,117.47,46,106,32,261,88,134
UREUM,245,38.71,20.71,34,10,155,24,45
HBA1C,245,6.05,1.72,5.6,3.7,14.9,5.6,5.6
GENSINI,245,47.48,39.2,39,0,224,17,72
